chlorophyll,sst,ssh,salinity,month,location,fish_name
2.85,26.89,0.56,33.76,6,Visakhapatnam,Croakers
2.81,26.4,0.59,33.51,8,Mumbai,Bombay Duck
1.99,12.18,0.67,31.92,6,Gujarat,Cod
3.08,27.14,0.28,33.54,7,Chennai,Grouper
2.16,27.36,0.24,34.43,9,Mangalore,Barracuda
4.18,26.21,0.27,29.69,4,Mangalore,Hilsa
4.97,28.1,0.59,32.22,2,Kochi,Hilsa
2.44,16.84,0.4,32.35,9,Kochi,Salmon
2.79,17.76,0.63,33.93,7,Goa,Herring
2.73,28.09,0.49,32.6,6,Mumbai,Bombay Duck
2.69,16.51,0.3,30.24,7,Mumbai,Salmon
3.59,22.55,0.42,29.55,1,Mangalore,Tilapia
3.02,24.94,0.66,31.46,7,Gujarat,Croakers
4.8,24.43,0.65,29.96,12,Gujarat,Hilsa
1.35,22.61,0.39,35.86,4,Mangalore,Shark
1.72,27.06,0.62,35.6,10,Gujarat,Ribbonfish
1.97,27.71,0.36,34.32,8,Chennai,Kingfish
3.8,15.88,0.29,33.86,12,Visakhapatnam,Herring
2.8,27.79,0.35,35.22,9,Kochi,Grouper
3.22,23.88,0.44,29.8,9,Mumbai,Catfish
2.0,14.52,0.31,32.85,6,Visakhapatnam,Salmon
1.62,13.54,0.35,31.16,12,Chennai,Cod
1.85,29.16,0.33,35.29,10,Goa,Tuna
2.16,30.82,0.63,34.08,1,Kochi,Ribbonfish
2.44,27.11,0.42,32.9,2,Mangalore,Croakers
3.12,28.27,0.68,31.41,5,Chennai,Bombay Duck
2.16,27.08,0.66,34.8,1,Goa,Barracuda
1.78,13.79,0.48,31.33,9,Mangalore,Cod
1.93,12.32,0.47,30.99,8,Mangalore,Salmon
4.29,27.22,0.48,29.61,9,Gujarat,Tilapia
1.63,30.23,0.56,36.7,4,Gujarat,Barracuda
2.7,23.52,0.68,30.24,5,Goa,Catfish
1.49,9.13,0.66,34.88,12,Gujarat,Cod
3.65,27.49,0.32,31.09,12,Kochi,Sardine
1.99,29.21,0.31,35.27,3,Kochi,Ribbonfish
4.18,26.73,0.31,33.62,6,Kochi,Bombay Duck
3.76,24.93,0.68,33.43,7,Goa,Croakers
2.21,26.52,0.55,33.52,9,Chennai,Pomfret
2.59,26.06,0.35,28.06,2,Goa,Tilapia
3.77,24.62,0.69,31.41,12,Chennai,Sardine
1.92,27.71,0.63,35.32,6,Gujarat,Grouper
1.81,27.32,0.39,34.21,1,Visakhapatnam,Barracuda
2.59,10.01,0.64,33.21,9,Mumbai,Herring
1.82,29.58,0.42,34.72,1,Mumbai,Barracuda
2.71,27.19,0.2,34.21,12,Mumbai,Ribbonfish
2.25,27.09,0.63,34.16,8,Goa,Seer Fish
4.3,14.32,0.32,30.29,1,Mumbai,Herring
2.58,24.42,0.62,34.41,10,Mangalore,Croakers
1.19,8.48,0.35,33.83,11,Mangalore,Cod
3.69,23.29,0.53,30.01,11,Mangalore,Tilapia
2.45,30.53,0.29,35.82,3,Visakhapatnam,Ribbonfish
2.58,30.73,0.31,35.15,2,Kochi,Seer Fish
2.19,29.22,0.46,35.43,2,Goa,Tuna
3.56,26.57,0.31,30.27,3,Gujarat,Tilapia
2.29,29.77,0.31,33.35,4,Goa,Mackerel
3.55,26.31,0.35,32.77,4,Mumbai,Hilsa
3.61,27.35,0.52,32.72,1,Mumbai,Sardine
4.72,25.02,0.62,32.05,11,Kochi,Anchovy
1.84,12.59,0.32,31.39,11,Gujarat,Cod
2.61,29.57,0.49,33.05,12,Goa,Snapper
3.38,26.24,0.4,33.33,4,Chennai,Mackerel
3.44,16.43,0.47,30.12,4,Kochi,Herring
1.04,9.24,0.51,32.45,11,Chennai,Cod
4.28,25.12,0.44,33.67,1,Gujarat,Sardine
2.7,26.62,0.41,29.56,4,Chennai,Tilapia
4.98,24.71,0.66,31.89,5,Visakhapatnam,Sardine
2.94,24.48,0.45,34.5,2,Chennai,Grouper
3.88,26.59,0.43,31.18,5,Gujarat,Hilsa
2.17,29.05,0.62,35.19,2,Gujarat,Kingfish
2.78,27.65,0.34,32.87,2,Goa,Pomfret
5.31,24.52,0.26,31.37,6,Goa,Anchovy
3.34,26.66,0.7,34.89,1,Gujarat,Mackerel
1.83,14.88,0.35,31.8,3,Visakhapatnam,Cod
1.3,23.61,0.21,36.49,8,Goa,Shark
2.61,26.77,0.47,34.61,3,Kochi,Croakers
3.13,26.11,0.6,29.89,9,Gujarat,Hilsa
1.98,31.84,0.36,35.88,3,Gujarat,Tuna
1.06,10.24,0.4,33.27,4,Visakhapatnam,Cod
3.34,24.5,0.5,33.6,5,Mumbai,Sardine
2.36,26.88,0.23,35.53,9,Gujarat,Grouper
2.83,29.37,0.4,34.55,3,Chennai,Ribbonfish
0.96,24.99,0.57,36.78,12,Goa,Shark
1.64,14.47,0.57,33.66,12,Kochi,Cod
5.23,23.35,0.7,32.27,2,Mumbai,Anchovy
1.39,13.25,0.28,32.17,4,Goa,Salmon
3.18,28.96,0.62,35.2,7,Gujarat,Mackerel
2.13,22.46,0.37,29.77,5,Chennai,Catfish
2.68,31.34,0.44,34.39,2,Goa,Kingfish
4.38,24.41,0.25,30.36,9,Gujarat,Catfish
1.45,21.94,0.31,36.58,11,Mangalore,Shark
1.82,26.84,0.25,34.94,10,Goa,Barracuda
1.39,28.8,0.43,35.42,3,Gujarat,Barracuda
2.98,26.63,0.47,30.21,5,Mangalore,Tilapia
3.68,27.6,0.35,30.83,2,Goa,Bombay Duck
3.71,22.83,0.26,27.23,5,Visakhapatnam,Tilapia
3.73,27.24,0.34,32.11,1,Goa,Croakers
2.41,28.65,0.68,33.6,10,Mumbai,Mackerel
2.95,23.12,0.33,31.05,5,Mangalore,Catfish
3.45,27.12,0.64,32.71,4,Chennai,Bombay Duck
2.52,26.64,0.22,31.85,3,Chennai,Bombay Duck
3.0,28.66,0.61,33.35,8,Chennai,Mackerel
3.03,11.14,0.42,31.7,10,Chennai,Herring
2.66,26.67,0.22,34.05,4,Mangalore,Grouper
1.99,12.05,0.48,33.69,4,Kochi,Cod
4.38,24.65,0.29,31.87,2,Mumbai,Hilsa
3.18,28.1,0.58,35.82,10,Visakhapatnam,Mackerel
3.89,27.6,0.21,30.61,7,Chennai,Bombay Duck
2.44,27.47,0.48,33.38,6,Mumbai,Pomfret
3.44,26.74,0.36,33.26,8,Chennai,Mackerel
3.23,26.41,0.69,33.1,8,Mumbai,Mackerel
2.04,26.85,0.56,35.98,7,Mumbai,Mackerel
2.25,30.17,0.65,34.18,9,Mangalore,Seer Fish
1.62,30.95,0.23,35.78,6,Kochi,Tuna
2.22,29.81,0.25,36.43,7,Chennai,Barracuda
3.94,27.48,0.65,30.0,4,Gujarat,Tilapia
2.26,28.22,0.6,35.94,8,Visakhapatnam,Snapper
2.91,28.24,0.29,34.35,9,Mumbai,Ribbonfish
2.75,27.29,0.22,35.79,7,Goa,Kingfish
3.72,24.86,0.37,33.05,9,Gujarat,Sardine
2.68,27.95,0.39,34.2,8,Visakhapatnam,Kingfish
2.52,25.87,0.48,31.26,12,Mumbai,Catfish
4.13,26.02,0.34,32.14,2,Chennai,Bombay Duck
2.27,14.51,0.48,32.94,8,Visakhapatnam,Salmon
2.2,27.22,0.32,34.11,10,Goa,Ribbonfish
1.63,25.04,0.7,36.81,7,Goa,Shark
4.62,25.85,0.24,31.01,4,Goa,Sardine
3.74,25.19,0.64,29.95,9,Mumbai,Hilsa
5.31,25.38,0.5,31.62,12,Visakhapatnam,Anchovy
3.26,26.75,0.42,31.82,3,Mangalore,Catfish
4.12,24.91,0.34,30.63,8,Kochi,Anchovy
3.97,14.18,0.45,30.04,5,Mumbai,Herring
2.61,29.66,0.39,35.23,3,Mumbai,Seer Fish
3.92,28.25,0.24,32.49,1,Mangalore,Hilsa
2.76,27.47,0.21,36.26,2,Visakhapatnam,Kingfish
2.92,30.29,0.47,34.59,8,Mumbai,Ribbonfish
4.25,22.44,0.59,29.67,7,Gujarat,Catfish
2.55,25.04,0.32,34.76,12,Gujarat,Croakers
3.54,16.91,0.57,31.47,12,Visakhapatnam,Herring
2.24,31.8,0.48,36.41,4,Mumbai,Tuna
2.44,14.58,0.32,33.91,11,Goa,Salmon
4.17,24.89,0.39,27.89,10,Kochi,Tilapia
1.01,23.09,0.24,35.8,7,Kochi,Shark
4.39,23.56,0.27,32.44,3,Chennai,Anchovy
1.89,28.39,0.56,36.52,11,Visakhapatnam,Barracuda
3.24,24.36,0.44,30.15,5,Goa,Tilapia
1.04,13.67,0.47,31.57,7,Chennai,Cod
1.7,12.41,0.56,30.46,7,Mumbai,Salmon
2.66,29.02,0.6,34.6,7,Chennai,Mackerel
2.73,27.71,0.3,35.13,8,Chennai,Grouper
1.71,23.46,0.44,35.44,11,Visakhapatnam,Shark
2.53,24.45,0.4,30.19,11,Gujarat,Catfish
1.84,28.56,0.68,35.02,11,Mangalore,Tuna
2.53,28.46,0.67,35.72,10,Gujarat,Mackerel
2.24,29.21,0.25,35.46,1,Kochi,Ribbonfish
1.47,13.27,0.54,31.08,12,Mumbai,Cod
0.9,12.61,0.69,34.85,9,Mumbai,Cod
2.18,28.98,0.6,34.24,11,Mumbai,Mackerel
3.11,27.52,0.69,32.07,4,Visakhapatnam,Bombay Duck
1.79,29.3,0.46,33.72,10,Visakhapatnam,Snapper
3.98,22.16,0.38,27.93,7,Goa,Tilapia
0.83,24.2,0.61,36.32,11,Goa,Shark
3.66,22.84,0.39,29.83,5,Goa,Tilapia
0.84,8.53,0.42,34.7,12,Kochi,Cod
1.98,26.33,0.21,35.32,3,Gujarat,Snapper
1.89,27.37,0.31,34.05,2,Goa,Ribbonfish
2.69,28.06,0.52,31.16,6,Goa,Bombay Duck
2.76,27.79,0.55,35.23,4,Chennai,Kingfish
3.26,26.26,0.57,28.01,6,Mumbai,Tilapia
4.55,24.64,0.29,32.82,11,Visakhapatnam,Sardine
1.97,26.22,0.33,33.94,3,Kochi,Grouper
2.67,23.1,0.26,27.07,4,Chennai,Tilapia
3.11,28.43,0.51,35.63,6,Goa,Mackerel
3.86,23.38,0.41,30.75,11,Kochi,Tilapia
2.42,30.51,0.53,35.13,8,Chennai,Seer Fish
4.2,23.9,0.32,31.62,4,Kochi,Anchovy
2.4,27.98,0.31,34.43,3,Gujarat,Seer Fish
1.12,22.88,0.54,35.11,11,Kochi,Shark
2.36,16.97,0.41,30.71,5,Mangalore,Salmon
2.74,25.13,0.31,34.53,8,Visakhapatnam,Pomfret
2.84,28.15,0.32,33.58,12,Goa,Snapper
2.07,31.41,0.34,35.02,11,Mumbai,Tuna
2.2,27.92,0.35,35.62,11,Gujarat,Barracuda
3.93,24.27,0.61,30.53,12,Kochi,Anchovy
2.98,29.45,0.5,34.0,6,Mangalore,Kingfish
3.08,26.37,0.49,29.92,8,Mangalore,Hilsa
2.63,22.55,0.34,30.93,8,Kochi,Catfish
2.52,13.48,0.29,33.16,11,Mumbai,Salmon
1.99,14.66,0.54,33.16,6,Mangalore,Cod
1.39,12.16,0.25,31.43,8,Gujarat,Salmon
2.14,30.34,0.46,34.03,3,Mumbai,Seer Fish
2.72,27.51,0.6,34.27,5,Gujarat,Ribbonfish
1.85,26.85,0.62,35.68,4,Mumbai,Grouper
1.44,21.87,0.68,36.62,9,Gujarat,Shark
3.0,29.22,0.25,34.78,12,Chennai,Kingfish
2.36,25.94,0.28,34.5,4,Mangalore,Grouper
3.96,28.07,0.31,30.55,1,Kochi,Bombay Duck
1.74,31.96,0.21,35.33,8,Mangalore,Tuna
2.15,28.77,0.21,34.91,3,Kochi,Pomfret
3.77,24.04,0.57,32.1,4,Mangalore,Hilsa
2.39,28.04,0.29,36.33,6,Mumbai,Barracuda
2.78,27.8,0.56,34.42,9,Chennai,Snapper
1.9,27.05,0.38,32.37,3,Kochi,Pomfret
1.85,24.42,0.46,35.56,10,Kochi,Grouper
2.39,29.47,0.62,34.9,11,Mumbai,Seer Fish
2.67,22.57,0.51,29.79,6,Kochi,Tilapia
2.32,15.73,0.41,30.04,8,Chennai,Salmon
2.63,26.5,0.21,34.6,10,Chennai,Grouper
1.96,28.48,0.53,34.41,7,Visakhapatnam,Ribbonfish
1.41,11.61,0.66,33.26,6,Visakhapatnam,Cod
2.83,25.03,0.42,28.5,10,Kochi,Catfish
4.1,26.47,0.35,30.99,5,Gujarat,Bombay Duck
3.13,26.84,0.31,31.98,8,Kochi,Catfish
2.16,28.39,0.49,33.25,2,Kochi,Snapper
1.76,27.92,0.59,33.9,4,Goa,Grouper
3.31,25.48,0.3,32.2,8,Mumbai,Hilsa
2.08,29.35,0.4,35.49,5,Kochi,Snapper
2.33,25.83,0.32,33.93,7,Visakhapatnam,Snapper
2.37,31.0,0.61,35.18,1,Kochi,Kingfish
2.32,30.91,0.36,36.89,9,Mangalore,Tuna
2.78,26.34,0.22,32.55,6,Goa,Croakers
1.89,14.61,0.62,33.61,12,Goa,Salmon
2.77,23.07,0.21,30.71,11,Chennai,Tilapia
2.95,27.78,0.56,33.53,10,Chennai,Snapper
1.9,28.88,0.23,35.8,1,Mangalore,Kingfish
2.9,29.99,0.31,33.71,6,Kochi,Snapper
4.05,23.91,0.23,27.89,12,Mangalore,Tilapia
2.47,24.21,0.32,34.64,4,Mangalore,Croakers
2.16,22.03,0.43,28.66,10,Mangalore,Catfish
2.55,27.8,0.61,34.59,5,Mangalore,Croakers
3.9,24.7,0.41,29.87,12,Visakhapatnam,Tilapia
2.89,30.73,0.67,36.07,10,Mumbai,Kingfish
2.42,30.24,0.68,36.76,6,Mangalore,Tuna
2.14,30.08,0.6,36.29,7,Mumbai,Tuna
3.1,24.78,0.34,31.09,4,Mumbai,Sardine
4.93,26.53,0.66,30.6,7,Chennai,Anchovy
3.95,27.06,0.46,31.67,12,Mangalore,Hilsa
0.98,20.7,0.45,36.97,10,Gujarat,Shark
1.7,29.03,0.61,35.98,1,Goa,Ribbonfish
2.69,30.63,0.49,34.81,8,Gujarat,Ribbonfish
1.36,22.05,0.57,35.94,10,Gujarat,Shark
1.07,29.43,0.23,34.35,8,Kochi,Barracuda
1.71,30.14,0.48,36.73,1,Gujarat,Tuna
2.44,26.75,0.51,33.49,11,Gujarat,Mackerel
2.51,27.3,0.68,34.27,4,Gujarat,Grouper
3.24,22.11,0.2,28.9,10,Kochi,Catfish
5.19,26.29,0.55,31.6,8,Chennai,Anchovy
1.04,25.03,0.49,35.07,10,Chennai,Shark
4.5,26.86,0.23,30.79,9,Gujarat,Anchovy
1.13,9.75,0.56,34.35,11,Gujarat,Cod
2.19,28.23,0.5,32.96,8,Gujarat,Pomfret
1.96,24.94,0.61,36.51,10,Chennai,Shark
2.05,27.79,0.59,34.11,9,Goa,Snapper
2.62,30.16,0.3,34.04,2,Goa,Seer Fish
3.39,22.05,0.51,28.34,4,Goa,Tilapia
3.38,27.04,0.36,32.66,6,Mangalore,Sardine
3.07,29.29,0.6,35.55,7,Mumbai,Mackerel
4.99,26.42,0.28,32.39,8,Gujarat,Anchovy
3.2,27.38,0.37,33.36,9,Kochi,Bombay Duck
1.89,27.34,0.3,36.99,4,Mumbai,Barracuda
1.91,28.42,0.23,34.13,2,Mangalore,Snapper
1.66,25.45,0.35,33.52,12,Goa,Snapper
1.85,30.42,0.39,34.38,7,Kochi,Seer Fish
5.15,25.13,0.35,30.11,10,Gujarat,Anchovy
5.5,25.18,0.34,31.8,11,Chennai,Anchovy
1.99,27.36,0.28,35.62,12,Mumbai,Kingfish
2.83,25.57,0.56,34.81,9,Mumbai,Grouper
2.47,28.2,0.38,33.44,11,Kochi,Pomfret
2.81,16.68,0.64,32.13,12,Chennai,Herring
4.84,26.5,0.28,31.75,12,Gujarat,Anchovy
1.62,24.04,0.67,33.68,7,Chennai,Grouper
3.99,27.36,0.5,33.53,7,Mangalore,Bombay Duck
3.57,25.92,0.36,30.08,6,Visakhapatnam,Tilapia
3.28,24.43,0.3,33.58,11,Kochi,Croakers
4.64,24.69,0.6,31.28,6,Chennai,Sardine
2.06,27.02,0.29,33.88,10,Gujarat,Snapper
2.97,27.33,0.63,34.93,5,Chennai,Grouper
1.0,26.75,0.65,36.74,4,Mangalore,Barracuda
1.83,29.79,0.7,36.45,9,Mumbai,Tuna
3.08,24.87,0.4,29.48,1,Mumbai,Tilapia
3.71,25.48,0.2,30.72,12,Goa,Anchovy
3.64,28.17,0.48,31.12,3,Goa,Hilsa
5.0,24.24,0.41,32.39,9,Mumbai,Anchovy
2.75,28.94,0.28,32.45,3,Visakhapatnam,Bombay Duck
1.65,28.23,0.56,34.38,7,Kochi,Ribbonfish
2.8,15.62,0.46,30.88,4,Goa,Herring
2.04,27.46,0.64,34.25,1,Visakhapatnam,Snapper
2.21,27.45,0.68,35.02,3,Visakhapatnam,Seer Fish
5.3,23.93,0.56,30.11,8,Goa,Anchovy
2.54,15.21,0.64,32.16,9,Chennai,Herring
3.62,26.93,0.28,31.78,5,Mangalore,Anchovy
3.07,28.06,0.52,32.41,3,Chennai,Bombay Duck
2.44,28.88,0.2,33.69,9,Goa,Grouper
1.89,30.48,0.63,36.18,5,Mangalore,Seer Fish
2.42,28.41,0.3,35.19,8,Kochi,Seer Fish
2.93,27.8,0.58,33.87,2,Mumbai,Pomfret
1.66,17.4,0.41,32.76,2,Gujarat,Salmon
1.49,30.19,0.56,34.47,2,Gujarat,Barracuda
1.73,30.71,0.25,35.87,2,Chennai,Ribbonfish
2.24,27.41,0.7,35.81,12,Visakhapatnam,Grouper
4.09,26.96,0.44,31.81,11,Chennai,Bombay Duck
4.4,15.42,0.57,33.43,10,Goa,Herring
2.19,27.38,0.43,33.15,10,Goa,Grouper
1.45,13.28,0.22,34.47,9,Kochi,Cod
3.67,22.23,0.22,28.11,4,Visakhapatnam,Catfish
3.09,28.45,0.57,32.56,3,Chennai,Hilsa
2.06,27.78,0.33,34.03,2,Gujarat,Kingfish
2.9,23.35,0.43,30.14,7,Mumbai,Tilapia
2.58,26.64,0.66,29.97,7,Mumbai,Tilapia
2.84,17.87,0.21,31.68,11,Gujarat,Herring
2.92,24.96,0.65,31.81,8,Gujarat,Croakers
1.68,30.36,0.61,36.15,11,Goa,Tuna
2.88,29.16,0.47,35.08,12,Visakhapatnam,Mackerel
3.69,10.87,0.23,33.37,6,Chennai,Herring
1.5,23.1,0.25,35.58,11,Visakhapatnam,Shark
3.43,10.77,0.28,30.62,9,Mumbai,Herring
1.44,8.83,0.62,32.13,12,Goa,Cod
3.16,28.57,0.48,30.29,9,Goa,Bombay Duck
2.53,27.08,0.39,33.25,3,Goa,Croakers
2.49,27.59,0.36,31.07,1,Gujarat,Croakers
3.97,12.32,0.25,31.17,8,Goa,Herring
2.8,25.65,0.38,34.91,2,Chennai,Snapper
2.17,27.37,0.33,35.79,11,Mumbai,Seer Fish
2.86,29.74,0.58,34.7,12,Kochi,Mackerel
2.23,29.04,0.27,34.45,11,Mangalore,Kingfish
4.41,27.8,0.33,30.63,9,Mangalore,Tilapia
4.62,27.15,0.5,33.57,6,Chennai,Sardine
2.9,29.63,0.29,33.74,12,Mangalore,Mackerel
1.58,28.19,0.69,33.28,6,Kochi,Grouper
1.88,28.44,0.48,33.7,3,Visakhapatnam,Snapper
3.79,23.05,0.51,31.06,2,Visakhapatnam,Anchovy
2.91,23.0,0.41,30.74,6,Gujarat,Tilapia
2.52,27.13,0.62,36.36,8,Kochi,Seer Fish
2.2,29.17,0.38,35.83,11,Mangalore,Tuna
1.63,25.68,0.31,35.82,5,Gujarat,Shark
1.34,15.61,0.61,32.0,6,Goa,Salmon
2.91,30.36,0.46,34.69,6,Goa,Ribbonfish
3.17,27.02,0.44,31.4,10,Visakhapatnam,Sardine
3.56,24.84,0.68,32.23,3,Gujarat,Sardine
1.93,26.88,0.69,35.07,3,Mumbai,Grouper
4.66,24.29,0.56,32.74,4,Goa,Anchovy
4.77,26.82,0.43,31.45,12,Goa,Sardine
4.91,24.16,0.65,31.28,6,Gujarat,Hilsa
2.97,27.49,0.51,32.53,10,Chennai,Pomfret
2.24,28.96,0.59,35.08,3,Goa,Tuna
1.8,24.52,0.23,36.82,3,Visakhapatnam,Shark
3.98,26.49,0.37,30.26,6,Gujarat,Catfish
4.28,27.08,0.37,32.58,10,Chennai,Hilsa
2.36,28.79,0.22,34.95,5,Goa,Seer Fish
2.95,30.65,0.49,35.43,3,Visakhapatnam,Ribbonfish
3.03,28.94,0.25,35.28,1,Gujarat,Mackerel
4.05,25.23,0.6,32.13,9,Goa,Anchovy
1.72,22.36,0.25,35.21,11,Chennai,Shark
2.88,27.87,0.31,32.93,6,Gujarat,Bombay Duck
1.91,27.21,0.42,34.75,5,Visakhapatnam,Pomfret
3.29,25.24,0.23,32.37,10,Visakhapatnam,Hilsa
2.09,28.98,0.4,35.7,10,Mangalore,Tuna
1.95,22.46,0.46,36.47,3,Gujarat,Shark
2.02,28.56,0.57,34.95,10,Chennai,Mackerel
2.28,31.25,0.24,35.62,8,Chennai,Kingfish
1.35,25.18,0.62,36.78,7,Mangalore,Shark
2.81,28.64,0.44,31.99,2,Kochi,Bombay Duck
1.91,29.49,0.26,36.74,2,Gujarat,Tuna
3.08,26.72,0.35,32.62,4,Mangalore,Croakers
3.15,27.57,0.53,33.97,11,Goa,Croakers
1.0,24.27,0.25,36.36,9,Kochi,Shark
2.24,23.63,0.44,29.4,7,Visakhapatnam,Catfish
2.94,28.85,0.36,33.82,4,Mumbai,Snapper
2.73,14.63,0.63,30.92,12,Mangalore,Salmon
4.49,24.67,0.47,32.65,5,Kochi,Anchovy
4.66,25.1,0.36,31.34,7,Mangalore,Anchovy
3.03,22.75,0.69,29.46,4,Mangalore,Tilapia
3.25,24.11,0.55,32.96,10,Mumbai,Hilsa
4.63,24.72,0.42,32.36,4,Gujarat,Hilsa
5.17,24.05,0.29,30.07,7,Visakhapatnam,Anchovy
3.51,26.5,0.67,29.37,10,Mangalore,Tilapia
2.38,24.34,0.54,34.0,6,Mangalore,Croakers
2.43,28.09,0.4,35.37,10,Kochi,Kingfish
1.01,27.25,0.67,35.3,9,Visakhapatnam,Barracuda
2.36,27.87,0.68,34.13,6,Mumbai,Grouper
2.21,29.88,0.47,35.3,3,Mangalore,Snapper
2.23,31.92,0.59,34.27,7,Gujarat,Kingfish
2.5,28.17,0.53,35.96,3,Visakhapatnam,Ribbonfish
2.4,25.53,0.53,32.68,9,Chennai,Croakers
1.85,27.66,0.51,35.11,4,Visakhapatnam,Snapper
4.89,27.29,0.45,30.96,7,Kochi,Hilsa
2.98,27.41,0.43,33.52,12,Kochi,Bombay Duck
2.61,28.26,0.49,34.13,6,Visakhapatnam,Seer Fish
2.51,28.4,0.65,34.19,1,Kochi,Snapper
2.45,28.24,0.4,36.18,2,Mangalore,Seer Fish
2.13,27.19,0.26,36.43,9,Gujarat,Seer Fish
0.95,25.73,0.59,35.63,11,Chennai,Shark
1.56,25.05,0.63,33.39,12,Goa,Grouper
2.32,27.42,0.4,36.82,3,Kochi,Seer Fish
2.12,24.71,0.57,33.67,10,Visakhapatnam,Grouper
2.83,28.77,0.69,35.94,11,Goa,Mackerel
2.48,29.38,0.25,35.68,6,Kochi,Kingfish
4.47,27.27,0.23,31.78,5,Visakhapatnam,Sardine
1.72,28.87,0.5,35.25,9,Mangalore,Snapper
3.59,24.99,0.65,31.91,5,Gujarat,Catfish
2.46,29.23,0.26,33.72,6,Mumbai,Mackerel
3.88,27.02,0.24,30.82,3,Mumbai,Bombay Duck
1.4,30.79,0.56,35.06,5,Mumbai,Barracuda
1.83,29.53,0.66,36.11,9,Chennai,Kingfish
4.61,25.38,0.47,33.42,2,Mumbai,Sardine
1.93,28.31,0.5,32.43,10,Goa,Pomfret
1.56,31.34,0.47,36.68,9,Visakhapatnam,Tuna
1.88,24.11,0.5,34.42,12,Goa,Grouper
2.61,28.64,0.23,34.66,1,Mumbai,Pomfret
4.09,26.12,0.38,32.67,5,Kochi,Anchovy
1.9,28.83,0.25,35.22,2,Mumbai,Snapper
3.77,25.79,0.63,33.96,11,Visakhapatnam,Sardine
1.44,17.81,0.21,31.23,1,Gujarat,Salmon
1.71,27.83,0.41,34.23,10,Gujarat,Barracuda
1.68,29.87,0.5,35.48,11,Chennai,Barracuda
2.32,27.31,0.53,34.88,5,Mangalore,Mackerel
1.6,27.56,0.42,34.63,11,Visakhapatnam,Snapper
2.45,25.4,0.36,35.34,10,Goa,Grouper
3.24,27.83,0.52,30.08,3,Goa,Hilsa
3.43,29.33,0.45,34.91,12,Mangalore,Mackerel
3.37,23.52,0.6,31.27,1,Mangalore,Catfish
1.67,30.98,0.25,36.72,3,Chennai,Tuna
3.39,27.57,0.39,30.35,8,Kochi,Bombay Duck
3.84,24.45,0.35,32.76,2,Kochi,Anchovy
1.93,28.44,0.56,33.36,5,Mangalore,Pomfret
2.69,28.32,0.45,33.57,3,Chennai,Grouper
1.8,27.42,0.51,35.09,10,Chennai,Snapper
3.98,27.66,0.52,30.8,2,Visakhapatnam,Bombay Duck
3.96,23.83,0.34,27.84,9,Gujarat,Tilapia
5.0,26.49,0.62,32.94,4,Gujarat,Anchovy
3.47,17.37,0.5,31.03,4,Gujarat,Herring
3.81,27.35,0.29,30.0,1,Kochi,Hilsa
1.33,23.81,0.33,36.59,11,Visakhapatnam,Shark
2.4,25.84,0.67,35.98,7,Chennai,Snapper
2.76,26.94,0.29,29.63,3,Mumbai,Tilapia
2.65,22.8,0.46,30.53,4,Mumbai,Catfish
1.62,28.22,0.49,35.76,4,Chennai,Tuna
4.78,26.61,0.65,32.46,8,Kochi,Sardine
2.35,25.26,0.66,34.73,6,Visakhapatnam,Snapper
2.19,24.97,0.43,34.28,3,Mangalore,Grouper
3.8,17.65,0.35,33.84,2,Mangalore,Herring
4.88,27.79,0.27,32.81,10,Goa,Sardine
2.22,31.18,0.4,36.51,10,Chennai,Kingfish
4.15,10.14,0.49,30.9,1,Kochi,Herring
2.11,28.14,0.37,35.65,6,Gujarat,Ribbonfish
3.4,29.1,0.23,35.35,4,Chennai,Mackerel
2.65,28.35,0.62,34.12,10,Chennai,Snapper
4.43,26.19,0.4,32.06,11,Kochi,Anchovy
3.02,24.61,0.52,30.01,10,Mumbai,Catfish
2.22,27.42,0.65,33.63,4,Kochi,Croakers
2.15,29.09,0.35,35.61,6,Visakhapatnam,Kingfish
3.75,26.09,0.42,33.41,5,Mumbai,Sardine
4.42,24.43,0.31,30.44,5,Kochi,Anchovy
2.12,28.6,0.25,33.21,2,Visakhapatnam,Pomfret
1.43,24.32,0.33,36.05,5,Visakhapatnam,Shark
2.17,28.64,0.55,36.47,9,Chennai,Kingfish
2.67,28.89,0.49,32.22,6,Mumbai,Pomfret
1.47,12.05,0.42,34.88,7,Mangalore,Cod
2.46,27.68,0.51,34.0,4,Goa,Snapper
2.18,27.83,0.34,34.67,9,Visakhapatnam,Kingfish
4.99,24.26,0.69,31.49,12,Gujarat,Sardine
3.29,26.47,0.42,29.79,5,Goa,Catfish
1.87,23.41,0.5,35.06,9,Mangalore,Shark
3.0,24.5,0.68,28.04,1,Gujarat,Tilapia
2.94,26.0,0.29,28.02,11,Goa,Catfish
4.21,23.31,0.67,28.43,11,Mumbai,Tilapia
3.57,27.79,0.33,33.54,7,Goa,Croakers
2.45,27.89,0.4,32.42,12,Goa,Pomfret
4.16,28.43,0.25,31.74,4,Gujarat,Hilsa
3.17,27.11,0.67,31.47,1,Gujarat,Hilsa
2.62,25.91,0.24,28.79,9,Gujarat,Catfish
2.33,29.41,0.49,36.91,3,Kochi,Tuna
3.14,25.51,0.47,30.41,2,Goa,Catfish
2.52,31.96,0.56,35.47,7,Chennai,Kingfish
2.24,14.61,0.49,30.37,7,Kochi,Salmon
2.74,30.63,0.59,34.49,7,Visakhapatnam,Seer Fish
